"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1960",88.452975,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1961",91.890271,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1962",95.013703,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1963",100.648641,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1964",105.98825,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1965",111.966478,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1966",116.622786,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1967",123.211719,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1968",130.180857,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1969",136.437256,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1970",141.63672,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1971",143.364803,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1972",148.422047,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1973",157.734249,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1974",172.549574,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1975",179.467397,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1976",181.886685,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1977",195.919366,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1978",191.090637,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1979",197.378887,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1980",206.729609,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1981",207.361561,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1982",213.666649,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1983",201.759512,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1984",208.045087,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1985",220.128059,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1986",221.505411,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1987",231.814091,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1988",240.802247,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1989",254.272935,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1990",259.697211,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1991",261.037229,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1992",265.056312,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1993",268.97012,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1994",274.914397,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1995",285.324094,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1996",295.801549,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1997",303.09665,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1998",323.746128,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1999",328.805245,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2000",334.645123,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2001",340.982482,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2002",348.962582,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2003",347.969551,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2004",361.328033,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2005",365.515118,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2006",370.839121,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2007",381.067827,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2008",384.311003,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2009",391.081821,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2010",383.618673,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2011",382.107665,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2012",381.713911,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2013",375.785446,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2014",367.025776,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2015",373.846773,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2016",381.878629,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2017",384.583857,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2018",382.872279,
"AUS","AIREMISSION","CO","THND_TONNE","A","1990",5728.46,
"AUS","AIREMISSION","CO","THND_TONNE","A","1991",5747.308,
"AUS","AIREMISSION","CO","THND_TONNE","A","1992",5896.593,
"AUS","AIREMISSION","CO","THND_TONNE","A","1993",6120.709,
"AUS","AIREMISSION","CO","THND_TONNE","A","1994",6262.916,
"AUS","AIREMISSION","CO","THND_TONNE","A","1995",6107.829,
"AUS","AIREMISSION","CO","THND_TONNE","A","1996",6281.889,
"AUS","AIREMISSION","CO","THND_TONNE","A","1997",6297.543,
"AUS","AIREMISSION","CO","THND_TONNE","A","1998",5941.221,
"AUS","AIREMISSION","CO","THND_TONNE","A","1999",5803.817,
"AUS","AIREMISSION","CO","THND_TONNE","A","2000",5387.306,
"AUS","AIREMISSION","CO","THND_TONNE","A","2001",5121.711,
"AUS","AIREMISSION","CO","THND_TONNE","A","2002",4985.813,
"AUS","AIREMISSION","CO","THND_TONNE","A","2003",4499.161,
"AUS","AIREMISSION","CO","THND_TONNE","A","2004",4593.24,
"AUS","AIREMISSION","CO","THND_TONNE","A","2005",3973.013,
"AUS","AIREMISSION","CO","THND_TONNE","A","2006",3944.595,
"AUS","AIREMISSION","CO","THND_TONNE","A","2007",3382.893,
"AUS","AIREMISSION","CO","THND_TONNE","A","2008",3226.74,
"AUS","AIREMISSION","CO","THND_TONNE","A","2009",3158.219,
"AUS","AIREMISSION","CO","THND_TONNE","A","2010",2994.791,
"AUS","AIREMISSION","CO","THND_TONNE","A","2011",2939.839,
"AUS","AIREMISSION","CO","THND_TONNE","A","2012",2902.792,
"AUS","AIREMISSION","CO","THND_TONNE","A","2013",2838.238,
"AUS","AIREMISSION","CO","THND_TONNE","A","2014",2768.896,
"AUS","AIREMISSION","CO","THND_TONNE","A","2015",2721.381,
"AUS","AIREMISSION","CO","THND_TONNE","A","2016",2648.313,
"AUS","AIREMISSION","CO","THND_TONNE","A","2017",2815.042,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1990",1620.749,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1991",1596.152,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1992",1642.029,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1993",1684.853,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1994",1686.915,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1995",1693.463,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1996",1745.077,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1997",1798.393,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1998",1835.619,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1999",1867.444,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2000",1875.864,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2001",1959.907,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2002",2039.96,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2003",2121.206,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2004",2174.572,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2005",2194.335,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2006",2204.751,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2007",2223.923,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2008",2277.338,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2009",2247.099,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2010",2335.617,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2011",2282.374,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2012",2433.314,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2013",2503.427,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2014",2523.771,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2015",2540.814,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2016",2596.175,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2017",2665.386,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1990",1585.754,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1991",1570.777,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1992",1652.946,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1993",1743.161,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1994",1764.906,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1995",1674.096,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1996",1762.206,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1997",1818.189,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1998",1743.772,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1999",1832.656,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2000",2343.287,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2001",2585.104,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2002",2775.525,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2003",2775.016,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2004",2512.628,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2005",2520.313,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2006",2482.62,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2007",2444.895,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2008",2512.441,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2009",2599.968,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2010",2380.047,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2011",2507.875,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2012",2519.087,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2013",2414.101,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2014",2499.419,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2015",2385.87,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2016",2464.911,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2017",2288.491,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1990",1365.67,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1991",1353.371,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1992",1357.353,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1993",1375.839,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1994",1389.182,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1995",1376.001,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1996",1353.126,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1997",1353.073,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1998",1333.48,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1999",1298.371,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2000",1264.924,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2001",1247.596,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2002",1269.871,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2003",1245.552,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2004",1253.829,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2005",1232.662,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2006",1242.832,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2007",1216.514,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2008",1217.135,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2009",1229.026,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2010",1232.184,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2011",1232.324,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2012",1241.5,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2013",1259.873,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2014",1293.856,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2015",1307.687,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2016",1308.345,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2017",1333.871,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1960",8.5,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1961",8.6,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1962",8.8,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1963",9.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1964",9.4,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1965",9.7,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1966",10,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1967",10.3,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1968",10.7,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1969",11,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1970",11.2,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1971",10.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1972",11.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1973",11.6,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1974",12.5,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1975",12.8,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1976",12.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1977",13.7,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1978",13.2,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1979",13.5,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1980",14,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1981",13.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1982",14.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1983",13.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1984",13.4,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1985",13.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1986",13.8,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1987",14.3,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1988",14.6,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1989",15.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1990",15,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1991",14.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1992",15,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1993",15.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1994",15.3,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1995",15.7,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1996",16.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1997",16.3,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1998",17.2,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1999",17.3,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2000",17.4,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2001",17.5,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2002",17.7,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2003",17.5,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2004",17.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2005",17.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2006",17.8,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2007",17.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2008",17.7,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2009",17.8,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2010",17.4,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2011",17.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2012",16.8,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2013",16.2,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2014",15.6,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2015",15.7,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2016",15.8,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2017",15.6,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2018",15.3,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1990",24.782,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1991",24.514,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1992",24.463,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1993",24.213,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1994",23.952,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1995",24.171,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1996",24.328,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1997",24.725,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1998",25.201,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1999",25.23,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2000",25.539,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2001",25.656,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2002",25.582,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2003",25.383,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2004",25.953,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2005",25.859,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2006",25.647,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2007",25.489,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2008",25.175,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2009",24.869,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2010",24.251,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2011",23.883,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2012",23.604,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2013",22.81,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2014",22.247,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2015",22.362,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2016",22.535,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2017",22.54,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","1990",420315.323,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","1991",421381.463,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","1992",425702.483,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","1993",426232.23,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","1994",426304.968,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","1995",434912.951,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","1996",442506.139,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","1997",454629.299,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","1998",468405.894,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","1999",474027.428,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2000",485018.616,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2001",492461.681,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2002",496318.641,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2003",498118.962,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2004",515931.287,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2005",521801.01,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2006",526437.29,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2007",533138.415,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2008",537031.992,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2009",540913.37,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2010",537275.249,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2011",538280.611,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2012",540615.865,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2013",530433.519,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2014",524957.101,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2015",535173.674,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2016",546771.76,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2017",554126.561,
"AUS","AIREMISSION","CO","KG_CAP","A","1990",337.751,
"AUS","AIREMISSION","CO","KG_CAP","A","1991",334.355,
"AUS","AIREMISSION","CO","KG_CAP","A","1992",338.842,
"AUS","AIREMISSION","CO","KG_CAP","A","1993",347.704,
"AUS","AIREMISSION","CO","KG_CAP","A","1994",351.878,
"AUS","AIREMISSION","CO","KG_CAP","A","1995",339.454,
"AUS","AIREMISSION","CO","KG_CAP","A","1996",345.362,
"AUS","AIREMISSION","CO","KG_CAP","A","1997",342.496,
"AUS","AIREMISSION","CO","KG_CAP","A","1998",319.644,
"AUS","AIREMISSION","CO","KG_CAP","A","1999",308.908,
"AUS","AIREMISSION","CO","KG_CAP","A","2000",283.67,
"AUS","AIREMISSION","CO","KG_CAP","A","2001",266.83,
"AUS","AIREMISSION","CO","KG_CAP","A","2002",256.983,
"AUS","AIREMISSION","CO","KG_CAP","A","2003",229.266,
"AUS","AIREMISSION","CO","KG_CAP","A","2004",231.052,
"AUS","AIREMISSION","CO","KG_CAP","A","2005",196.893,
"AUS","AIREMISSION","CO","KG_CAP","A","2006",192.173,
"AUS","AIREMISSION","CO","KG_CAP","A","2007",161.734,
"AUS","AIREMISSION","CO","KG_CAP","A","2008",151.261,
"AUS","AIREMISSION","CO","KG_CAP","A","2009",145.2,
"AUS","AIREMISSION","CO","KG_CAP","A","2010",135.176,
"AUS","AIREMISSION","CO","KG_CAP","A","2011",130.439,
"AUS","AIREMISSION","CO","KG_CAP","A","2012",126.738,
"AUS","AIREMISSION","CO","KG_CAP","A","2013",122.049,
"AUS","AIREMISSION","CO","KG_CAP","A","2014",117.344,
"AUS","AIREMISSION","CO","KG_CAP","A","2015",113.711,
"AUS","AIREMISSION","CO","KG_CAP","A","2016",109.152,
"AUS","AIREMISSION","CO","KG_CAP","A","2017",114.504,
"AUS","AIREMISSION","NOX","KG_CAP","A","1990",95.56,
"AUS","AIREMISSION","NOX","KG_CAP","A","1991",92.858,
"AUS","AIREMISSION","NOX","KG_CAP","A","1992",94.358,
"AUS","AIREMISSION","NOX","KG_CAP","A","1993",95.713,
"AUS","AIREMISSION","NOX","KG_CAP","A","1994",94.778,
"AUS","AIREMISSION","NOX","KG_CAP","A","1995",94.117,
"AUS","AIREMISSION","NOX","KG_CAP","A","1996",95.94,
"AUS","AIREMISSION","NOX","KG_CAP","A","1997",97.807,
"AUS","AIREMISSION","NOX","KG_CAP","A","1998",98.758,
"AUS","AIREMISSION","NOX","KG_CAP","A","1999",99.395,
"AUS","AIREMISSION","NOX","KG_CAP","A","2000",98.774,
"AUS","AIREMISSION","NOX","KG_CAP","A","2001",102.107,
"AUS","AIREMISSION","NOX","KG_CAP","A","2002",105.145,
"AUS","AIREMISSION","NOX","KG_CAP","A","2003",108.092,
"AUS","AIREMISSION","NOX","KG_CAP","A","2004",109.387,
"AUS","AIREMISSION","NOX","KG_CAP","A","2005",108.746,
"AUS","AIREMISSION","NOX","KG_CAP","A","2006",107.411,
"AUS","AIREMISSION","NOX","KG_CAP","A","2007",106.325,
"AUS","AIREMISSION","NOX","KG_CAP","A","2008",106.755,
"AUS","AIREMISSION","NOX","KG_CAP","A","2009",103.311,
"AUS","AIREMISSION","NOX","KG_CAP","A","2010",105.423,
"AUS","AIREMISSION","NOX","KG_CAP","A","2011",101.268,
"AUS","AIREMISSION","NOX","KG_CAP","A","2012",106.24,
"AUS","AIREMISSION","NOX","KG_CAP","A","2013",107.652,
"AUS","AIREMISSION","NOX","KG_CAP","A","2014",106.956,
"AUS","AIREMISSION","NOX","KG_CAP","A","2015",106.166,
"AUS","AIREMISSION","NOX","KG_CAP","A","2016",107.003,
"AUS","AIREMISSION","NOX","KG_CAP","A","2017",108.417,
"AUS","AIREMISSION","SOX","KG_CAP","A","1990",93.496,
"AUS","AIREMISSION","SOX","KG_CAP","A","1991",91.381,
"AUS","AIREMISSION","SOX","KG_CAP","A","1992",94.985,
"AUS","AIREMISSION","SOX","KG_CAP","A","1993",99.025,
"AUS","AIREMISSION","SOX","KG_CAP","A","1994",99.16,
"AUS","AIREMISSION","SOX","KG_CAP","A","1995",93.041,
"AUS","AIREMISSION","SOX","KG_CAP","A","1996",96.882,
"AUS","AIREMISSION","SOX","KG_CAP","A","1997",98.883,
"AUS","AIREMISSION","SOX","KG_CAP","A","1998",93.817,
"AUS","AIREMISSION","SOX","KG_CAP","A","1999",97.543,
"AUS","AIREMISSION","SOX","KG_CAP","A","2000",123.387,
"AUS","AIREMISSION","SOX","KG_CAP","A","2001",134.678,
"AUS","AIREMISSION","SOX","KG_CAP","A","2002",143.058,
"AUS","AIREMISSION","SOX","KG_CAP","A","2003",141.408,
"AUS","AIREMISSION","SOX","KG_CAP","A","2004",126.392,
"AUS","AIREMISSION","SOX","KG_CAP","A","2005",124.901,
"AUS","AIREMISSION","SOX","KG_CAP","A","2006",120.948,
"AUS","AIREMISSION","SOX","KG_CAP","A","2007",116.889,
"AUS","AIREMISSION","SOX","KG_CAP","A","2008",117.776,
"AUS","AIREMISSION","SOX","KG_CAP","A","2009",119.534,
"AUS","AIREMISSION","SOX","KG_CAP","A","2010",107.429,
"AUS","AIREMISSION","SOX","KG_CAP","A","2011",111.273,
"AUS","AIREMISSION","SOX","KG_CAP","A","2012",109.985,
"AUS","AIREMISSION","SOX","KG_CAP","A","2013",103.81,
"AUS","AIREMISSION","SOX","KG_CAP","A","2014",105.924,
"AUS","AIREMISSION","SOX","KG_CAP","A","2015",99.692,
"AUS","AIREMISSION","SOX","KG_CAP","A","2016",101.593,
"AUS","AIREMISSION","SOX","KG_CAP","A","2017",93.086,
"AUS","AIREMISSION","VOC","KG_CAP","A","1990",80.52,
"AUS","AIREMISSION","VOC","KG_CAP","A","1991",78.734,
"AUS","AIREMISSION","VOC","KG_CAP","A","1992",77.999,
"AUS","AIREMISSION","VOC","KG_CAP","A","1993",78.158,
"AUS","AIREMISSION","VOC","KG_CAP","A","1994",78.05,
"AUS","AIREMISSION","VOC","KG_CAP","A","1995",76.474,
"AUS","AIREMISSION","VOC","KG_CAP","A","1996",74.391,
"AUS","AIREMISSION","VOC","KG_CAP","A","1997",73.588,
"AUS","AIREMISSION","VOC","KG_CAP","A","1998",71.743,
"AUS","AIREMISSION","VOC","KG_CAP","A","1999",69.106,
"AUS","AIREMISSION","VOC","KG_CAP","A","2000",66.605,
"AUS","AIREMISSION","VOC","KG_CAP","A","2001",64.997,
"AUS","AIREMISSION","VOC","KG_CAP","A","2002",65.453,
"AUS","AIREMISSION","VOC","KG_CAP","A","2003",63.47,
"AUS","AIREMISSION","VOC","KG_CAP","A","2004",63.071,
"AUS","AIREMISSION","VOC","KG_CAP","A","2005",61.088,
"AUS","AIREMISSION","VOC","KG_CAP","A","2006",60.548,
"AUS","AIREMISSION","VOC","KG_CAP","A","2007",58.161,
"AUS","AIREMISSION","VOC","KG_CAP","A","2008",57.056,
"AUS","AIREMISSION","VOC","KG_CAP","A","2009",56.505,
"AUS","AIREMISSION","VOC","KG_CAP","A","2010",55.617,
"AUS","AIREMISSION","VOC","KG_CAP","A","2011",54.678,
